category_code,normalized_name,logo_width,logo_height,country_code,city,investment_rounds,invested_companies,milestones,relationships,funding_total_usd,acquired_at,logo_ratio,name_length
games_video,flektor,186,85,USA,Culver City,0,0,0,6,0,2007-05-30,2.1882352941176473,7
hardware,vidacare,330,130,USA,Shavano Park,0,0,0,4,274999,2013-10-29,2.5384615384615383,8
hardware,videosurf,640,69,USA,San Mateo,0,0,3,7,28000000,1993-06-20,9.27536231884058,9
network_hosting,iweb technologies,240,178,CAN,"Montreal, Qu̩bec",0,0,0,4,33521974,2013-10-30,1.348314606741573,17
NA,turntide,0,0,NA,NA,0,0,1,4,750000,2004-07-01,NaN,8
web,dotspotter,200,45,USA,NA,0,0,3,1,0,2007-10-01,4.444444444444445,10
cleantech,the climate,252,81,USA,San Francisco,0,0,2,28,108900000,2013-10-02,3.111111111111111,11
security,loglogic,500,178,USA,San Jose,0,0,3,15,8800000,2012-04-03,2.808988764044944,8
web,egroups,135,73,USA,San Francisco,0,0,1,9,0,2000-06-28,1.8493150684931507,7
NA,alltheweb,258,74,NA,NA,0,0,2,0,0,2003-02-02,3.4864864864864864,9
NA,hotjobs,307,34,NA,NA,0,0,3,7,0,2002-01-11,9.029411764705882,7
NA,hotjobs,307,34,NA,NA,0,0,3,7,0,2010-02-03,9.029411764705882,7
NA,log me on,124,52,NA,NA,0,0,0,1,0,1999-05-01,2.3846153846153846,9
